row_kind,id,local_image,shape_category_headers,colour_category_headers,pill_drug_shapes,pill_shape_source,pill_drug_colours,pill_colour_source,alt_excerpt,avg_color_csv
image,8657295,pexels_8657295.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"A female pharmacist arranging bottles in a classic pharmacy interior, captured indoors.",#696564
image,17604768,pexels_17604768.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills,Colour: Yellow,loose_roundish_pills_generic;loose_scattered_pills,alt_text,yellow,alt_text,"Bright yellow pills scattered on a vibrant blue background, resembling a healthcare theme.",#8BA068
image,13119976,pexels_13119976.jpg,"Shape: Pill subject, shape unspecified",Colour: Orange,unspecified_pill_shape,pill_mentioned_shape_not_parsed,orange,image_center_crop,A pharmacist organizing medication on shelves in a pharmacy in Bangladesh.,#A08E84
image,3683093,pexels_3683093.jpg,Shape: Blister or foil pack | Shape: Oval or capsule,Colour: Red,blister_foil_pack;oval_or_capsule,alt_text,red,alt_text,Close-up of a blister pack containing red capsules on a vibrant purple background.,#ED9EEE
image,3923155,pexels_3923155.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills | Shape: Round flat tablets,Colour: White,loose_roundish_pills_generic;loose_scattered_pills;round_flat_tablets,alt_text,white,alt_text,A close-up of hands near a pile of white tablets on a grey surface.,#A3908A
image,9667139,pexels_9667139.jpg,Shape: Bottle or container | Shape: Pills or tablets (general),Colour: Orange,bottle_or_tub_container;loose_roundish_pills_generic,alt_text,orange,alt_text,"A vertical shot of orange pills in a glass container, representing healthcare and medication.",#9E451D
image,4058367,pexels_4058367.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general),Colour: Gray | Colour: Orange,blister_foil_pack;loose_roundish_pills_generic,alt_text,gray;orange,image_center_crop,"Close-up of a hand in gloves holding a blister pack of pills, symbolizing medical care.",#B3AEAB
image,35576362,pexels_35576362.jpg,Shape: No clear pill close-up,Colour: Black,no_clear_pill_or_blister_subject,scene_not_pill_closeup,black,avg_color_only_no_pill_clause,Bright green neon pharmacy sign glowing in the night. Urban street scene.,#182514
image,360622,pexels_360622.jpg,Shape: Oval or capsule,Colour: Blue | Colour: White,oval_or_capsule,alt_text,blue;white,alt_text,A close-up of blue and white capsules spilling from a glass on a light background.,#C3C9CF
image,31480083,pexels_31480083.jpg,Shape: No clear pill close-up,Colour: Red,no_clear_pill_or_blister_subject,scene_not_pill_closeup,red,avg_color_only_no_pill_clause,A woman browsing skincare products in a pharmacy in Belgrade.,#685255
image,34612486,pexels_34612486.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"Berlin pharmacy sign with iconic logo during twilight, surrounded by trees.",#4D5854
image,9629685,pexels_9629685.jpg,"Shape: Pill subject, shape unspecified",Colour: Gray,unspecified_pill_shape,pill_mentioned_shape_not_parsed,gray,image_center_crop,Male pharmacist in surgical cap and gloves organizing shelves of medication in a pharmacy.,#A4A5A9
image,8657300,pexels_8657300.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,A female pharmacist in a white uniform organizing bottles in a pharmacy cabinet.,#3B3331
image,19471016,pexels_19471016.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,Female pharmacist writing in notepad inside a pharmacy.,#ACACAE
image,9742796,pexels_9742796.jpg,Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours,Colour: Multicolour,loose_roundish_pills_generic;mixed_multi_shape_pills,alt_text,multicolor,alt_text,Close-up of colorful pills arranged on a bright green surface representing healthcare.,#A7D25C
image,8667536,pexels_8667536.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,A vintage scene of a pharmacist handing a mysterious red bottle to a customer in an old-style pharmacy.,#39312F
image,3873147,pexels_3873147.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours,Colour: Multicolour,blister_foil_pack;loose_roundish_pills_generic;mixed_multi_shape_pills,alt_text,multicolor,alt_text,"Various colorful medicine tablets in blister packs, emphasizing healthcare and pharmaceutical concepts.",#AEB0B1
image,8657359,pexels_8657359.jpg,"Shape: Pill subject, shape unspecified",Colour: Black | Colour: Gray | Colour: Orange,unspecified_pill_shape,pill_mentioned_shape_not_parsed,black;gray;orange,image_center_crop,A pharmacist hands medication to a customer at a classic vintage pharmacy counter.,#595554
image,29746450,pexels_29746450.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,A historic apothecary interior showcasing antique herbal jars and a wooden statue.,#6C4E36
image,8657297,pexels_8657297.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,Pharmacists working in a vintage pharmacy setting with old-fashioned decor.,#5F5B5A
image,29558980,pexels_29558980.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,"Bright neon pharmacy signs illuminate the night in Berlin, Germany.",#3C1108
image,14797859,pexels_14797859.jpg,"Shape: Pill subject, shape unspecified",Colour: Gray,unspecified_pill_shape,pill_mentioned_shape_not_parsed,gray,image_center_crop,"Pharmacist with turban and glasses in a pharmacy, standing in front of medicine shelves.",#868583
image,19943230,pexels_19943230.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"Outdoor street view of a pharmacy sign in Bangkok, Thailand.",#5D6A63
image,17553953,pexels_17553953.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills,Colour: Yellow,loose_roundish_pills_generic;loose_scattered_pills,alt_text,yellow,alt_text,"Flat lay of yellow pills scattered on a pink surface, ideal for healthcare themes.",#C79A94
image,26939096,pexels_26939096.jpg,Shape: No clear pill close-up,Colour: Black,no_clear_pill_or_blister_subject,scene_not_pill_closeup,black,avg_color_only_no_pill_clause,"A pharmacy with illuminated signage at night, showcasing a modern urban exterior.",#191E18
image,9742878,pexels_9742878.jpg,Shape: Bottle or container | Shape: Pills or tablets (general) | Shape: Loose or scattered pills,Colour: White | Colour: Yellow,bottle_or_tub_container;loose_roundish_pills_generic;loose_scattered_pills,alt_text,white;yellow,alt_text,White container and scattered yellow pills on vibrant blue background.,#196BB5
image,9742765,pexels_9742765.jpg,Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours | Shape: Oval or capsule,Colour: Multicolour,loose_roundish_pills_generic;mixed_multi_shape_pills;oval_or_capsule,alt_text,multicolor,alt_text,A variety of colorful pills and capsules displayed on a purple background in blister packs.,#C1ADC9
image,15688021,pexels_15688021.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"Close-up of gloved hands holding botulinum toxin vials in a laboratory, ideal for medical themes.",#6C685F
image,3873146,pexels_3873146.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours | Shape: Oval or capsule,Colour: Multicolour,blister_foil_pack;loose_roundish_pills_generic;mixed_multi_shape_pills;oval_or_capsule,alt_text,multicolor,alt_text,Colorful assortment of pills and capsules in blister packs for healthcare and medication usage.,#ADAFAF
image,9713006,pexels_9713006.jpg,Shape: No clear pill close-up,Colour: Teal / cyan,no_clear_pill_or_blister_subject,scene_not_pill_closeup,teal,avg_color_only_no_pill_clause,"Two people standing outside an illuminated pharmacy at night, beneath a glowing cross sign.",#183A3C
image,31851609,pexels_31851609.jpg,Shape: Bottle or container,Colour: Blue | Colour: Gray,bottle_or_tub_container,alt_text,blue;gray,image_center_crop,"A collection of antique medicine bottles with vintage labels in a wooden cabinet, Valletta, Malta.",#6C5A4E
image,12672390,pexels_12672390.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours,Colour: Blue | Colour: Gray,blister_foil_pack;loose_roundish_pills_generic;mixed_multi_shape_pills,alt_text,blue;gray,image_center_crop,"Close-up of various prescription pills in blister packs, highlighting medication diversity.",#DCDCDC
image,29380503,pexels_29380503.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,"Illuminated Apotheke sign on Berlin street at dusk, in front of modern buildings.",#899299
image,8657373,pexels_8657373.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,A pharmacist assists a customer at a vintage wooden pharmacy counter indoors.,#4D4747
image,12672359,pexels_12672359.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general),Colour: Blue | Colour: Gray,blister_foil_pack;loose_roundish_pills_generic,alt_text,blue;gray,image_center_crop,Close-up of various colored medication pills in blister packs.,#DCDCDC
image,8657286,pexels_8657286.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,A thoughtful female pharmacist in a white coat sitting in a pharmacy.,#78736F
image,36845279,pexels_36845279.jpg,Shape: No clear pill close-up,Colour: Yellow,no_clear_pill_or_blister_subject,scene_not_pill_closeup,yellow,avg_color_only_no_pill_clause,"Street scene of a neon-lit pharmacy sign in Bucharest, Romania at night.",#3C3324
image,7460053,pexels_7460053.jpg,Shape: Pills or tablets (general) | Shape: Mixed shapes or many colours | Shape: Oval or capsule,Colour: Multicolour,loose_roundish_pills_generic;mixed_multi_shape_pills;oval_or_capsule,alt_text,multicolor,alt_text,A close-up view of assorted colorful capsules and tablets on a dark background.,#897E66
image,15831830,pexels_15831830.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,"Pharmacist holding a white mortar and pestle, wearing blue gloves and lab coat indoors.",#8C6252
image,12512671,pexels_12512671.jpg,Shape: Heart-shaped arrangement | Shape: Pills or tablets (general) | Shape: Loose or scattered pills | Shape: Mixed shapes or many colours,Colour: Multicolour,heart_shaped_pill_layout;loose_roundish_pills_generic;loose_scattered_pills;mixed_multi_shape_pills,alt_text,multicolor,alt_text,"A heart-shaped cluster of multicolored pills on a vibrant yellow background, symbolizing healthcare and medicine.",#E5B85B
image,47327,pexels_47327.jpg,Shape: Blister or foil pack | Shape: Pills or tablets (general),Colour: Gray | Colour: Green,blister_foil_pack;loose_roundish_pills_generic,alt_text,gray;green,image_center_crop,"Polish 100 złoty notes with pills and blister packs, illustrating medical costs.",#959593
image,7615407,pexels_7615407.jpg,Shape: Pills or tablets (general) | Shape: Loose or scattered pills | Shape: Mixed shapes or many colours | Shape: Oval or capsule,Colour: Multicolour,loose_roundish_pills_generic;loose_scattered_pills;mixed_multi_shape_pills;oval_or_capsule,alt_text,multicolor,alt_text,"Assorted pills and capsules scattered on a white marble surface, highlighting pharmaceutical diversity.",#DFDDDC
image,19471015,pexels_19471015.jpg,"Shape: Pill subject, shape unspecified",Colour: Orange | Colour: White,unspecified_pill_shape,pill_mentioned_shape_not_parsed,orange;white,image_center_crop,"A female pharmacist in a lab coat using a smartphone in a pharmacy, surrounded by medicine shelves.",#C0BEBF
image,34583553,pexels_34583553.jpg,Shape: No clear pill close-up,Colour: Gray,no_clear_pill_or_blister_subject,scene_not_pill_closeup,gray,avg_color_only_no_pill_clause,A collection of vintage pharmaceutical bottles displayed in an antique glass cabinet.,#918E89
image,8657301,pexels_8657301.jpg,"Shape: Pill subject, shape unspecified",Colour: Gray | Colour: Orange,unspecified_pill_shape,pill_mentioned_shape_not_parsed,gray;orange,image_center_crop,A pharmacist in a lab coat selecting a medication bottle from a pharmacy shelf indoors.,#554C47
image,29555831,pexels_29555831.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,Antique pharmacy scales and apothecary jars in Heidelberg museum.,#7C5E44
image,15366536,pexels_15366536.jpg,Shape: No clear pill close-up,Colour: Orange,no_clear_pill_or_blister_subject,scene_not_pill_closeup,orange,avg_color_only_no_pill_clause,"A sepia-toned image of a traditional pharmacy exterior at dusk in Mons, Belgium.",#513E37
image,35544774,pexels_35544774.jpg,Shape: No clear pill close-up,Colour: Green,no_clear_pill_or_blister_subject,scene_not_pill_closeup,green,avg_color_only_no_pill_clause,"Exterior view of a pharmacy storefront with green facade in Varna, Bulgaria.",#657159
image,29555835,pexels_29555835.jpg,Shape: No clear pill close-up,Colour: Yellow,no_clear_pill_or_blister_subject,scene_not_pill_closeup,yellow,avg_color_only_no_pill_clause,"Intricate 18th-century pharmaceutical jars and bust at German Pharmacy Museum, Heidelberg.",#674F37
image,8657375,pexels_8657375.jpg,Shape: Bottle or container,Colour: Blue | Colour: Gray | Colour: Multicolour | Colour: Orange,bottle_or_tub_container,alt_text,blue;gray;multicolor;orange,image_center_crop,A senior woman with eyeglasses reviews a medicine bottle at a pharmacy counter indoors.,#7C7D7F

SECTION,,,Category index (same columns as above). row_kind=shape_group or colour_group.,,,,,Members listed in alt_excerpt as id=… file=…,image_count_for_category
shape_group,,,Shape: Blister or foil pack,,blister_foil_pack,,,,id=47327 file=pexels_47327.jpg | id=3683093 file=pexels_3683093.jpg | id=3873146 file=pexels_3873146.jpg | id=3873147 file=pexels_3873147.jpg | id=4058367 file=pexels_4058367.jpg | id=12672359 file=pexels_12672359.jpg | id=12672390 file=pexels_12672390.jpg,7
shape_group,,,Shape: Bottle or container,,bottle_or_tub_container,,,,id=8657375 file=pexels_8657375.jpg | id=9667139 file=pexels_9667139.jpg | id=9742878 file=pexels_9742878.jpg | id=31851609 file=pexels_31851609.jpg,4
shape_group,,,Shape: Heart-shaped arrangement,,heart_shaped_pill_layout,,,,id=12512671 file=pexels_12512671.jpg,1
shape_group,,,Shape: Pills or tablets (general),,loose_roundish_pills_generic,,,,id=47327 file=pexels_47327.jpg | id=3873146 file=pexels_3873146.jpg | id=3873147 file=pexels_3873147.jpg | id=3923155 file=pexels_3923155.jpg | id=4058367 file=pexels_4058367.jpg | id=7460053 file=pexels_7460053.jpg | id=7615407 file=pexels_7615407.jpg | id=9667139 file=pexels_9667139.jpg | id=9742765 file=pexels_9742765.jpg | id=9742796 file=pexels_9742796.jpg | id=9742878 file=pexels_9742878.jpg | id=12512671 file=pexels_12512671.jpg | id=12672359 file=pexels_12672359.jpg | id=12672390 file=pexels_12672390.jpg | id=17553953 file=pexels_17553953.jpg | id=17604768 file=pexels_17604768.jpg,16
shape_group,,,Shape: Loose or scattered pills,,loose_scattered_pills,,,,id=3923155 file=pexels_3923155.jpg | id=7615407 file=pexels_7615407.jpg | id=9742878 file=pexels_9742878.jpg | id=12512671 file=pexels_12512671.jpg | id=17553953 file=pexels_17553953.jpg | id=17604768 file=pexels_17604768.jpg,6
shape_group,,,Shape: Mixed shapes or many colours,,mixed_multi_shape_pills,,,,id=3873146 file=pexels_3873146.jpg | id=3873147 file=pexels_3873147.jpg | id=7460053 file=pexels_7460053.jpg | id=7615407 file=pexels_7615407.jpg | id=9742765 file=pexels_9742765.jpg | id=9742796 file=pexels_9742796.jpg | id=12512671 file=pexels_12512671.jpg | id=12672390 file=pexels_12672390.jpg,8
shape_group,,,Shape: No clear pill close-up,,no_clear_pill_or_blister_subject,,,,id=8657286 file=pexels_8657286.jpg | id=8657295 file=pexels_8657295.jpg | id=8657297 file=pexels_8657297.jpg | id=8657300 file=pexels_8657300.jpg | id=8657373 file=pexels_8657373.jpg | id=8667536 file=pexels_8667536.jpg | id=9713006 file=pexels_9713006.jpg | id=15366536 file=pexels_15366536.jpg | id=15688021 file=pexels_15688021.jpg | id=15831830 file=pexels_15831830.jpg | id=19471016 file=pexels_19471016.jpg | id=19943230 file=pexels_19943230.jpg | id=26939096 file=pexels_26939096.jpg | id=29380503 file=pexels_29380503.jpg | id=29555831 file=pexels_29555831.jpg | id=29555835 file=pexels_29555835.jpg | id=29558980 file=pexels_29558980.jpg | id=29746450 file=pexels_29746450.jpg | id=31480083 file=pexels_31480083.jpg | id=34583553 file=pexels_34583553.jpg | id=34612486 file=pexels_34612486.jpg | id=35544774 file=pexels_35544774.jpg | id=35576362 file=pexels_35576362.jpg | id=36845279 file=pexels_36845279.jpg,24
shape_group,,,Shape: Oval or capsule,,oval_or_capsule,,,,id=360622 file=pexels_360622.jpg | id=3683093 file=pexels_3683093.jpg | id=3873146 file=pexels_3873146.jpg | id=7460053 file=pexels_7460053.jpg | id=7615407 file=pexels_7615407.jpg | id=9742765 file=pexels_9742765.jpg,6
shape_group,,,Shape: Round flat tablets,,round_flat_tablets,,,,id=3923155 file=pexels_3923155.jpg,1
shape_group,,,"Shape: Pill subject, shape unspecified",,unspecified_pill_shape,,,,id=8657301 file=pexels_8657301.jpg | id=8657359 file=pexels_8657359.jpg | id=9629685 file=pexels_9629685.jpg | id=13119976 file=pexels_13119976.jpg | id=14797859 file=pexels_14797859.jpg | id=19471015 file=pexels_19471015.jpg,6
,,,,,,,,,,
colour_group,,,,Colour: Black,,,black,,id=8657359 file=pexels_8657359.jpg | id=26939096 file=pexels_26939096.jpg | id=35576362 file=pexels_35576362.jpg,3
colour_group,,,,Colour: Blue,,,blue,,id=360622 file=pexels_360622.jpg | id=8657375 file=pexels_8657375.jpg | id=12672359 file=pexels_12672359.jpg | id=12672390 file=pexels_12672390.jpg | id=31851609 file=pexels_31851609.jpg,5
colour_group,,,,Colour: Gray,,,gray,,id=47327 file=pexels_47327.jpg | id=4058367 file=pexels_4058367.jpg | id=8657286 file=pexels_8657286.jpg | id=8657295 file=pexels_8657295.jpg | id=8657297 file=pexels_8657297.jpg | id=8657301 file=pexels_8657301.jpg | id=8657359 file=pexels_8657359.jpg | id=8657373 file=pexels_8657373.jpg | id=8657375 file=pexels_8657375.jpg | id=9629685 file=pexels_9629685.jpg | id=12672359 file=pexels_12672359.jpg | id=12672390 file=pexels_12672390.jpg | id=14797859 file=pexels_14797859.jpg | id=15688021 file=pexels_15688021.jpg | id=19471016 file=pexels_19471016.jpg | id=19943230 file=pexels_19943230.jpg | id=29380503 file=pexels_29380503.jpg | id=31851609 file=pexels_31851609.jpg | id=34583553 file=pexels_34583553.jpg | id=34612486 file=pexels_34612486.jpg,20
colour_group,,,,Colour: Green,,,green,,id=47327 file=pexels_47327.jpg | id=35544774 file=pexels_35544774.jpg,2
colour_group,,,,Colour: Multicolour,,,multicolor,,id=3873146 file=pexels_3873146.jpg | id=3873147 file=pexels_3873147.jpg | id=7460053 file=pexels_7460053.jpg | id=7615407 file=pexels_7615407.jpg | id=8657375 file=pexels_8657375.jpg | id=9742765 file=pexels_9742765.jpg | id=9742796 file=pexels_9742796.jpg | id=12512671 file=pexels_12512671.jpg,8
colour_group,,,,Colour: Orange,,,orange,,id=4058367 file=pexels_4058367.jpg | id=8657300 file=pexels_8657300.jpg | id=8657301 file=pexels_8657301.jpg | id=8657359 file=pexels_8657359.jpg | id=8657375 file=pexels_8657375.jpg | id=8667536 file=pexels_8667536.jpg | id=9667139 file=pexels_9667139.jpg | id=13119976 file=pexels_13119976.jpg | id=15366536 file=pexels_15366536.jpg | id=15831830 file=pexels_15831830.jpg | id=19471015 file=pexels_19471015.jpg | id=29555831 file=pexels_29555831.jpg | id=29558980 file=pexels_29558980.jpg | id=29746450 file=pexels_29746450.jpg,14
colour_group,,,,Colour: Red,,,red,,id=3683093 file=pexels_3683093.jpg | id=31480083 file=pexels_31480083.jpg,2
colour_group,,,,Colour: Teal / cyan,,,teal,,id=9713006 file=pexels_9713006.jpg,1
colour_group,,,,Colour: White,,,white,,id=360622 file=pexels_360622.jpg | id=3923155 file=pexels_3923155.jpg | id=9742878 file=pexels_9742878.jpg | id=19471015 file=pexels_19471015.jpg,4
colour_group,,,,Colour: Yellow,,,yellow,,id=9742878 file=pexels_9742878.jpg | id=17553953 file=pexels_17553953.jpg | id=17604768 file=pexels_17604768.jpg | id=29555835 file=pexels_29555835.jpg | id=36845279 file=pexels_36845279.jpg,5

COUNT_SUMMARY,domain,category_code,category_title,image_count_in_category,,,,,Same image can appear in multiple shape/colour groups; column sums are > 50.
count_row,shape,blister_foil_pack,Shape: Blister or foil pack,7,,,,,
count_row,shape,bottle_or_tub_container,Shape: Bottle or container,4,,,,,
count_row,shape,heart_shaped_pill_layout,Shape: Heart-shaped arrangement,1,,,,,
count_row,shape,loose_roundish_pills_generic,Shape: Pills or tablets (general),16,,,,,
count_row,shape,loose_scattered_pills,Shape: Loose or scattered pills,6,,,,,
count_row,shape,mixed_multi_shape_pills,Shape: Mixed shapes or many colours,8,,,,,
count_row,shape,no_clear_pill_or_blister_subject,Shape: No clear pill close-up,24,,,,,
count_row,shape,oval_or_capsule,Shape: Oval or capsule,6,,,,,
count_row,shape,round_flat_tablets,Shape: Round flat tablets,1,,,,,
count_row,shape,unspecified_pill_shape,"Shape: Pill subject, shape unspecified",6,,,,,
count_row,colour,black,Colour: Black,3,,,,,
count_row,colour,blue,Colour: Blue,5,,,,,
count_row,colour,gray,Colour: Gray,20,,,,,
count_row,colour,green,Colour: Green,2,,,,,
count_row,colour,multicolor,Colour: Multicolour,8,,,,,
count_row,colour,orange,Colour: Orange,14,,,,,
count_row,colour,red,Colour: Red,2,,,,,
count_row,colour,teal,Colour: Teal / cyan,1,,,,,
count_row,colour,white,Colour: White,4,,,,,
count_row,colour,yellow,Colour: Yellow,5,,,,,
count_totals,,distinct_shape_categories=10,distinct_colour_categories=10,source_images=50,,,,,
