record_type,app,id,category,rating,rating_label,reason,date,compound,neg,neu,pos,sentiment_notes
review,Dovetail,182,research repository,1,1 star,"The difference between clips, highlights, and moments isn't obvious at first.",2024-09-16,0.0000,0.0000,1.0000,0.0000,neutral
review,Dovetail,412,research repository,1,1 star,The mobile app crashes when the screen locks mid-recording. No dark mode — surprising for a tool used in low-light observation settings.,2024-02-26,-0.0258,0.0910,0.8230,0.0860,neutral
review,Dovetail,446,research repository,1,1 star,Storage limits hit quickly when you're recording long sessions. The Figma integration is read-only; I can't push annotations back.,2023-09-22,0.0000,0.0000,1.0000,0.0000,neutral
review,Fieldkit,1,field research,1,1 star,Auto-transcription accuracy on accented speakers is inconsistent. Guest seats should be free — charging for view-only access feels wrong.,2023-03-31,0.0516,0.1320,0.7260,0.1410,positive
review,Fieldkit,200,field research,1,1 star,Keyboard shortcuts aren't discoverable — I found them by accident.,2023-04-24,-0.4767,0.2560,0.7440,0.0000,negative
review,Fieldkit,238,field research,1,1 star,Keyboard shortcuts aren't discoverable — I found them by accident.,2024-10-31,-0.4767,0.2560,0.7440,0.0000,negative
review,Fieldkit,284,field research,1,1 star,Keyboard shortcuts aren't discoverable — I found them by accident.,2023-01-17,-0.4767,0.2560,0.7440,0.0000,negative
review,Fieldkit,321,field research,1,1 star,No dark mode — surprising for a tool used in low-light observation settings.,2023-10-04,-0.0258,0.1440,0.7190,0.1370,neutral
review,Fieldkit,367,field research,1,1 star,The tag hierarchy system takes a few sessions to really click. Video processing sometimes takes longer than the session itself.,2024-04-12,0.0000,0.0000,1.0000,0.0000,neutral
review,Lookback,105,user research,1,1 star,Video processing sometimes takes longer than the session itself.,2024-03-28,0.0000,0.0000,1.0000,0.0000,neutral
review,Lookback,108,user research,1,1 star,No way to pay monthly — annual commitment only is a dealbreaker for some. Video processing sometimes takes longer than the session itself.,2024-06-10,0.0000,0.1370,0.7630,0.0990,neutral
review,Lookback,147,user research,1,1 star,The analysis view gets sluggish with more than 200 tagged clips.,2023-06-28,-0.4019,0.2130,0.7870,0.0000,negative
review,Lookback,165,user research,1,1 star,No way to pay monthly — annual commitment only is a dealbreaker for some.,2024-03-10,0.0000,0.2090,0.6400,0.1510,neutral
review,Lookback,189,user research,1,1 star,The Figma integration is read-only; I can't push annotations back. The browser extension stops recording silently sometimes.,2023-06-16,-0.1531,0.0910,0.9090,0.0000,negative
review,Lookback,216,user research,1,1 star,Video processing sometimes takes longer than the session itself.,2024-01-16,0.0000,0.0000,1.0000,0.0000,neutral
review,Lookback,239,user research,1,1 star,Storage limits hit quickly when you're recording long sessions. Documentation for advanced filtering could be much clearer.,2024-02-17,0.2500,0.0000,0.8890,0.1110,positive
review,Maze,32,usability testing,1,1 star,Session sharing links occasionally expire before participants click them.,2024-06-27,0.4215,0.0000,0.7410,0.2590,positive
review,Maze,52,usability testing,1,1 star,Session sharing links occasionally expire before participants click them. No dark mode — surprising for a tool used in low-light observation settings.,2024-09-12,0.4019,0.0840,0.7280,0.1880,positive
review,Maze,315,usability testing,1,1 star,Search results are slow when the repository is large. I've lost tags twice after a session due to a sync issue.,2023-11-03,-0.3182,0.1030,0.8970,0.0000,negative
review,Maze,317,usability testing,1,1 star,New team members consistently find the first study setup confusing.,2023-12-15,-0.2263,0.1740,0.8260,0.0000,negative
review,Maze,422,usability testing,1,1 star,Search results are slow when the repository is large.,2023-05-26,0.0000,0.0000,1.0000,0.0000,neutral
review,Miro,75,collaborative whiteboard,1,1 star,I've lost tags twice after a session due to a sync issue.,2023-12-25,-0.3182,0.1730,0.8270,0.0000,negative
review,Miro,118,collaborative whiteboard,1,1 star,"The difference between clips, highlights, and moments isn't obvious at first.",2024-11-10,0.0000,0.0000,1.0000,0.0000,neutral
review,Miro,204,collaborative whiteboard,1,1 star,Documentation for advanced filtering could be much clearer. No way to pay monthly — annual commitment only is a dealbreaker for some.,2023-03-11,0.2500,0.1370,0.6870,0.1760,positive
review,Miro,207,collaborative whiteboard,1,1 star,Loading large projects takes noticeably longer than it used to.,2023-02-12,0.0000,0.0000,1.0000,0.0000,neutral
review,Miro,344,collaborative whiteboard,1,1 star,The browser extension stops recording silently sometimes.,2024-03-15,-0.1531,0.2110,0.7890,0.0000,negative
review,Miro,371,collaborative whiteboard,1,1 star,No built-in way to generate a structured debrief template from tags.,2024-03-08,-0.2960,0.1800,0.8200,0.0000,negative
review,Miro,397,collaborative whiteboard,1,1 star,Undo doesn't work in the affinity diagram view — a real problem.,2023-01-10,-0.4019,0.1970,0.8030,0.0000,negative
review,Miro,480,collaborative whiteboard,1,1 star,The browser extension stops recording silently sometimes.,2023-01-15,-0.1531,0.2110,0.7890,0.0000,negative
app_sentiment,Dovetail,,,1,1 star,"Dovetail (1 star, 3 review(s)): VADER sentiment — mean compound -0.009 (−1 = most negative, +1 = most positive), labeled overall as 'neutral'. Mean word-level scores: neg 0.030, neu 0.941, pos 0.029. Single-review compound range: -0.026 to 0.000.",,-0.0086,0.0303,0.9410,0.0287,method=VADER; n=3; compound_min=-0.0258; compound_max=0.0000
app_sentiment,Fieldkit,,,1,1 star,"Fieldkit (1 star, 6 review(s)): VADER sentiment — mean compound -0.234 (−1 = most negative, +1 = most positive), labeled overall as 'negative'. Mean word-level scores: neg 0.174, neu 0.779, pos 0.046. Single-review compound range: -0.477 to 0.052.",,-0.2341,0.1740,0.7795,0.0463,method=VADER; n=6; compound_min=-0.4767; compound_max=0.0516
app_sentiment,Lookback,,,1,1 star,"Lookback (1 star, 7 review(s)): VADER sentiment — mean compound -0.044 (−1 = most negative, +1 = most positive), labeled overall as 'neutral'. Mean word-level scores: neg 0.093, neu 0.855, pos 0.052. Single-review compound range: -0.402 to 0.250.",,-0.0436,0.0929,0.8554,0.0516,method=VADER; n=7; compound_min=-0.4019; compound_max=0.2500
app_sentiment,Maze,,,1,1 star,"Maze (1 star, 5 review(s)): VADER sentiment — mean compound 0.056 (−1 = most negative, +1 = most positive), labeled overall as 'positive'. Mean word-level scores: neg 0.072, neu 0.838, pos 0.089. Single-review compound range: -0.318 to 0.421.",,0.0558,0.0722,0.8384,0.0894,method=VADER; n=5; compound_min=-0.3182; compound_max=0.4215
app_sentiment,Miro,,,1,1 star,"Miro (1 star, 8 review(s)): VADER sentiment — mean compound -0.134 (−1 = most negative, +1 = most positive), labeled overall as 'negative'. Mean word-level scores: neg 0.139, neu 0.839, pos 0.022. Single-review compound range: -0.402 to 0.250.",,-0.1340,0.1386,0.8394,0.0220,method=VADER; n=8; compound_min=-0.4019; compound_max=0.2500
